Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.2.2,PCI Data Security Standard v3.2.1 - 1.2.2,Secure and synchronize router configuration files.,"While the running (or active) router configuration files include the current, secure settings, the startup files (which are used when routers are restarted or booted) must be updated with the same secure settings to ensure these settings are applied when the start-up configuration is run.

Because they only run occasionally, start-up configuration files are often forgotten and are not updated. When a router re-starts and loads a start-up configuration that has not been updated with the same secure settings as those in the running configuration, it may result in weaker rules that allow malicious individuals into the network.",1.2.2,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.2.3,PCI Data Security Standard v3.2.1 - 1.2.3,"Install perimeter firewalls between all wireless networks and the cardholder data environment, and configure these firewalls to deny or, if traffic is necessary for business purposes, permit only authorized traffic between the wireless environment and the cardholder data environment.","The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious individuals to gain access to the network and cardholder data. If a wireless device or network is installed without the entity’s knowledge, a malicious individual could easily and “invisibly” enter the network. If firewalls do not restrict access from wireless networks into the CDE, malicious individuals that gain unauthorized access to the wireless network can easily connect to the CDE and compromise account information.

Firewalls must be installed between all wireless networks and the CDE, regardless of the purpose of the environment to which the wireless network is connected. This may include, but is not limited to, corporate networks, retail stores, guest networks, warehouse environments, etc.",1.2.3,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3,PCI Data Security Standard v3.2.1 - 1.3,Prohibit direct public access between the Internet and any system component in the cardholder data environment.,"While there may be legitimate reasons for untrusted connections to be permitted to DMZ systems (e.g., to allow public access to a web server), such connections should never be granted to systems in the internal network. A firewall's intent is to manage and control all connections between public systems and internal systems, especially those that store, process or transmit cardholder data. If direct access is allowed between public systems and the CDE, the protections offered by the firewall are bypassed, and system components storing cardholder data may be exposed to compromise.",1.3,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3.1,PCI Data Security Standard v3.2.1 - 1.3.1,"Implement a DMZ to limit inbound traffic to only system components that provide authorized publicly accessible services, protocols, and ports.","The DMZ is that part of the network that manages connections between the Internet (or other untrusted networks), and services that an organization needs to have available to the public (like a web server).

This functionality is intended to prevent malicious individuals from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner.",1.3.1,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3.2,PCI Data Security Standard v3.2.1 - 1.3.2,Limit inbound Internet traffic to IP addresses within the DMZ.,"The DMZ is that part of the network that manages connections between the Internet (or other untrusted networks), and services that an organization needs to have available to the public (like a web server).

This functionality is intended to prevent malicious individuals from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner.",1.3.2,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3.3,PCI Data Security Standard v3.2.1 - 1.3.3,"Implement anti-spoofing measures to detect and block forged source IP addresses from entering the network. 
(For example, block traffic originating from the Internet with an internal source address.)","Normally a packet contains the IP address of the computer that originally sent it so other computers in the network know where the packet came from. Malicious individuals will often try to spoof (or imitate) the sending IP address so that the target system believes the packet is from a trusted source.

Filtering packets coming into the network helps to, among other things, ensure packets are not “spoofed” to look like they are coming from an organization’s own internal network.",1.3.3,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3.4,PCI Data Security Standard v3.2.1 - 1.3.4,Do not allow unauthorized outbound traffic from the cardholder data environment to the Internet.,"All traffic outbound from the cardholder data environment should be evaluated to ensure that it follows established, authorized rules. Connections should be inspected to restrict traffic to only authorized communications (for example by restricting source/destination addresses/ports, and/or blocking of content).",1.3.4,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3.5,PCI Data Security Standard v3.2.1 - 1.3.5,Permit only “established” connections into the network.,"A firewall that maintains the ""state"" (or the status) for each connection through the firewall knows whether an apparent response to a previous connection is actually a valid, authorized response (since it retains each connection’s status) or is malicious traffic trying to trick the firewall into allowing the connection.",1.3.5,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3.6,PCI Data Security Standard v3.2.1 - 1.3.6,"Place system components that store cardholder data (such as a database) in an internal network zone, segregated from the DMZ and other untrusted networks.","If cardholder data is located within the DMZ, it is easier for an external attacker to access this information, since there are fewer layers to penetrate. Securing system components that store cardholder data in an internal network zone that is segregated from the DMZ and other untrusted networks by a firewall can prevent unauthorized network traffic from reaching the system component.",1.3.6,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.3.7,PCI Data Security Standard v3.2.1 - 1.3.7,"Do not disclose private IP addresses and routing information to unauthorized parties.

Note: Methods to obscure IP addressing may include, but are not limited to:
•  Network Address Translation (NAT)
•  Placing servers containing cardholder data behind proxy servers/firewalls, 
•  Removal or filtering of route advertisements for private networks that employ registered addressing, 
•  Internal use of RFC1918 address space instead of registered addresses.","Restricting the disclosure of internal or private IP addresses is essential to prevent a hacker “learning” the IP addresses of the internal network, and using that information to access the network.

Methods used to meet the intent of this requirement may vary depending on the specific networking technology being used. For example, the controls used to meet this requirement may be different for IPv4 networks than for IPv6 networks.",1.3.7,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.4,PCI Data Security Standard v3.2.1 - 1.4,"Install personal firewall software or equivalent functionality on any portable computing devices (including company and/or employee-owned) that connect to the Internet when outside the network (for example, laptops used by employees), and which are also used to access the CDE. Firewall (or equivalent) configurations include:
•  Specific configuration settings are defined.
•  Personal firewall (or equivalent functionality) is actively running.
•  Personal firewall (or equivalent functionality) is not alterable by users of the portable computing devices.","Portable computing devices that are allowed to connect to the Internet from outside the corporate firewall are more vulnerable to Internet-based threats. Use of firewall functionality (e.g., personal firewall software or hardware) helps to protect devices from Internet-based attacks, which could use the device to gain access the organization’s systems and data once the device is re-connected to the network.

The specific firewall configuration settings are determined by the organization.",1.4,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 1.5,PCI Data Security Standard v3.2.1 - 1.5,"Ensure that security policies and operational procedures for managing firewalls are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and operational procedures to ensure firewalls and routers are continuously managed to prevent unauthorized access to the network.,1.5,Build and Maintain a Secure Network and Systems,Requirement 1: Install and maintain a firewall configuration to protect data,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.1,PCI Data Security Standard v3.2.1 - 2.1,"Always change vendor-supplied defaults and remove or disable unnecessary default accounts before installing a system on the network.

This applies to ALL default passwords, including but not limited to those used by operating systems, software that provides security services, application and system accounts, point-of-sale (POS) terminals, payment applications, Simple Network Management Protocol (SNMP) community strings, etc.).","Malicious individuals (external and internal to an organization) often use vendor default settings, account names, and passwords to compromise operating system software, applications, and the systems on which they are installed. Because these default settings are often published and are well known in hacker communities, changing these settings will leave systems less vulnerable to attack.

Even if a default account is not intended to be used, changing the default password to a strong unique password and then disabling the account will prevent a malicious individual from re-enabling the account and gaining access with the default password.",2.1,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.1.1,PCI Data Security Standard v3.2.1 - 2.1.1,"For wireless environments connected to the cardholder data environment or transmitting cardholder data, change ALL wireless vendor defaults at installation, including but not limited to default wireless encryption keys, passwords, and SNMP community strings.","If wireless networks are not implemented with sufficient security configurations (including changing default settings), wireless sniffers can eavesdrop on the traffic, easily capture data and passwords, and easily enter and attack the network.

In addition, the key-exchange protocol for older versions of 802.11x encryption (Wired Equivalent Privacy, or WEP) has been broken and can render the encryption useless. Firmware for devices should be updated to support more secure protocols.",2.1.1,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.2,PCI Data Security Standard v3.2.1 - 2.2,"Develop configuration standards for all system components. Assure that these standards address all known security vulnerabilities and are consistent with industry-accepted system hardening standards.

Sources of industry-accepted system hardening standards may include, but are not limited to:
•  Center for Internet Security (CIS)
•  International Organization for Standardization (ISO)
•  SysAdmin Audit Network Security (SANS) Institute
•  National Institute of Standards Technology (NIST).","There are known weaknesses with many operating systems, databases, and enterprise applications, and there are also known ways to configure these systems to fix security vulnerabilities. To help those that are not security experts, a number of security organizations have established system-hardening guidelines and recommendations, which advise how to correct these weaknesses.

Examples of sources for guidance on configuration standards include, but are not limited to: www.nist.gov, www.sans.org, and www.cisecurity.org, www.iso.org, and product vendors.

System configuration standards must be kept up to date to ensure that newly identified weaknesses are corrected prior to a system being installed on the network.",2.2,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.2.1,PCI Data Security Standard v3.2.1 - 2.2.1,"Implement only one primary function per server to prevent functions that require different security levels from co-existing on the same server. (For example, web servers, database servers, and DNS should be implemented on separate servers.)

Note: Where virtualization technologies are in use, implement only one primary function per virtual system component.","If server functions that need different security levels are located on the same server, the security level of the functions with higher security needs would be reduced due to the presence of the lower-security functions. Additionally, the server functions with a lower security level may introduce security weaknesses to other functions on the same server. By considering the security needs of different server functions as part of the system configuration standards and related processes, organizations can ensure that functions requiring different security levels don’t co-exist on the same server.",2.2.1,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.2.2,PCI Data Security Standard v3.2.1 - 2.2.2,"Enable only necessary services, protocols, daemons, etc., as required for the function of the system.","As stated in Requirement 1.1.6, there are many protocols that a business may need (or have enabled by default) that are commonly used by malicious individuals to compromise a network. Including this requirement as part of an organization's configuration standards and related processes ensures that only the necessary services and protocols are enabled.",2.2.2,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.2.3,PCI Data Security Standard v3.2.1 - 2.2.3,"Implement additional security features for any required services, protocols, or daemons that are considered to be insecure.

Note: Where SSL/early TLS is used, the requirements in Appendix A2 must be completed.","Enabling security features before new servers are deployed will prevent servers being installed into the environment with insecure configurations.

Ensuring that all insecure services, protocols, and daemons are adequately secured with appropriate security features makes it more difficult for malicious individuals to take advantage of commonly used points of compromise within a network.

Refer to industry standards and best practices for information on strong cryptography and secure protocols (e.g., NIST SP 800-52 and SP 800-57, OWASP, etc.).",2.2.3,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.2.4,PCI Data Security Standard v3.2.1 - 2.2.4,Configure system security parameters to prevent misuse.,"System configuration standards and related processes should specifically address security settings and parameters that have known security implications for each type of system in use.

In order for systems to be configured securely, personnel responsible for configuration and/or administering systems must be knowledgeable in the specific security parameters and settings that apply to the system.",2.2.4,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.2.5,PCI Data Security Standard v3.2.1 - 2.2.5,"Remove all unnecessary functionality, such as scripts, drivers, features, subsystems, file systems, and unnecessary web servers.","Unnecessary functions can provide additional opportunities for malicious individuals to gain access to a system. By removing unnecessary functionality, organizations can focus on securing the functions that are required and reduce the risk that unknown functions will be exploited.

Including this in server-hardening standards and processes addresses the specific security implications associated with unnecessary functions (for example, by removing/disabling FTP or the web server if the server will not be performing those functions).",2.2.5,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.3,PCI Data Security Standard v3.2.1 - 2.3,Encrypt all non-console administrative access using strong cryptography.,"If non-console (including remote) administration does not use secure authentication and encrypted communications, sensitive administrative or operational level information (like administrator’s IDs and passwords) can be revealed to an eavesdropper. A malicious individual could use this information to access the network, become administrator, and steal data.

Clear-text protocols (such as HTTP, telnet, etc.) do not encrypt traffic or logon details, making it easy for an eavesdropper to intercept this information.

To be considered “strong cryptography,” industryrecognized protocols with appropriate key strengths
and key management should be in place as applicable
for the type of technology in use. (Refer to ""strong
cryptography” in the PCI DSS and PA-DSS Glossary of
Terms, Abbreviations, and Acronyms, and industry
standards and best practices such as NIST SP 800-52
and SP 800-57, OWASP, etc.)",2.3,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.4,PCI Data Security Standard v3.2.1 - 2.4,Maintain an inventory of system components that are in scope for PCI DSS.,"Maintaining a current list of all system components will enable an organization to accurately and efficiently define the scope of their environment for implementing PCI DSS controls. Without an inventory, some system components could be forgotten, and be inadvertently excluded from the organization’s configuration standards.",2.4,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.5,PCI Data Security Standard v3.2.1 - 2.5,"Ensure that security policies and operational procedures for managing vendor defaults and other security parameters are documented, in use, and known to all affected parties.",Personnel need to be aware of and following security policies and daily operational procedures to ensure vendor defaults and other security parameters are continuously managed to prevent insecure configurations.,2.5,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,"2 - Protect systems and networks, and be prepared to respond to a system breach"
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 2.6,PCI Data Security Standard v3.2.1 - 2.6,Shared hosting providers must protect each entity’s hosted environment and cardholder data. These providers must meet specific requirements as detailed in Appendix A1: Additional PCI DSS Requirements for Shared Hosting Providers.,"This is intended for hosting providers that provide shared hosting environments for multiple clients on the same server. When all data is on the same server and under control of a single environment, often the settings on these shared servers are not manageable by individual clients. This allows clients to add insecure functions and scripts that impact the security of all other client environments; and thereby make it easy for a malicious individual to compromise one client's data and thereby gain access to all other clients' data. See Appendix A1 for details of requirements.",2.6,Build and Maintain a Secure Network and Systems,Requirement 2: Do not use vendor-supplied defaults for system passwords and other security parameters,3 - Secure payment card applications
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.1,PCI Data Security Standard v3.2.1 - 3.1,"Keep cardholder data storage to a minimum by implementing data retention and disposal policies, procedures and processes that include at least the following for all cardholder data (CHD) storage:
•  Limiting data storage amount and retention time to that which is required for legal, regulatory, and/or business requirements
•  Specific retention requirements for cardholder data
•  Processes for secure deletion of data when no longer needed
•  A quarterly process for identifying and securely deleting stored cardholder data that exceeds defined retention.","A formal data retention policy identifies what data needs to be retained, and where that data resides so it can be securely destroyed or deleted as soon as it is no longer needed.

The only cardholder data that may be stored after authorization is the primary account number or PAN (rendered unreadable), expiration date, cardholder name, and service code.

Understanding where cardholder data is located is necessary so it can be properly retained or disposed of when no longer needed. In order to define appropriate retention requirements, an entity first needs to understand their own business needs as well as any legal or regulatory obligations that apply to their industry, and/or that apply to the type of data being retained.

Identifying and deleting stored data that has
exceeded its specified retention period prevents
unnecessary retention of data that is no longer
needed. This process may be automated or
manual or a combination of both. For example, a
programmatic procedure (automatic or manual) to
locate and remove data and/or a manual review
of data storage areas could be performed.

Implementing secure deletion methods ensure
that the data cannot be retrieved when it is no
longer needed. ",3.1,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.2,PCI Data Security Standard v3.2.1 - 3.2,"Do not store sensitive authentication data after authorization (even if encrypted). If sensitive authentication data is received, render all data unrecoverable upon completion of the authorization process.
It is permissible for issuers and companies that support issuing services to store sensitive authentication data if:
•  There is a business justification and 
•  The data is stored securely.

Sensitive authentication data includes the data as cited in the following Requirements 3.2.1 through 3.2.3:","Sensitive authentication data consists of full track data, card validation code or value, and PIN data. Storage of sensitive authentication data after authorization is prohibited! This data is very valuable to malicious individuals as it allows them to generate counterfeit payment cards and create fraudulent transactions.

Entities that issue payment cards or that perform or support issuing services will often create and control sensitive authentication data as part of the issuing function. It is allowable for companies that perform, facilitate, or support issuing services to store sensitive authentication data ONLY IF they have a legitimate business need to store such data.

It should be noted that all PCI DSS requirements apply to issuers, and the only exception for issuers and issuer processors is that sensitive authentication data may be retained if there is a legitimate reason to do so. A legitimate reason is one that is necessary for the performance of the function being provided for the issuer and not one of convenience. Any such data must be stored securely and in accordance with all PCI DSS and specific payment brand requirements.

For non-issuing entities, retaining sensitive
authentication data post-authorization is not
permitted. ",3.2,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.2.1,PCI Data Security Standard v3.2.1 - 3.2.1,"Do not store the full contents of any track (from the magnetic stripe located on the back of a card, equivalent data contained on a chip, or elsewhere) after authorization. This data is alternatively called full track, track, track 1, track 2, and magnetic-stripe data.

Note: In the normal course of business, the following data elements from the magnetic stripe may need to be retained: 
•  The cardholder’s name 
•  Primary account number (PAN) 
•  Expiration date 
•  Service code 
To minimize risk, store only these data elements as needed for business.","If full track data is stored, malicious individuals who obtain that data can use it to reproduce payment cards and complete fraudulent transactions.",3.2.1,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.2.2,PCI Data Security Standard v3.2.1 - 3.2.2,Do not store the card verification code or value (three-digit or four-digit number printed on the front or back of a payment card used to verify card-not-present transactions) after authorization.,"The purpose of the card validation code is to protect ""card-not-present"" transactions—Internet or mail order/telephone order (MO/TO) transactions—where the consumer and the card are not present.

If this data is stolen, malicious individuals can execute fraudulent Internet and MO/TO transactions.",3.2.2,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.2.3,PCI Data Security Standard v3.2.1 - 3.2.3,Do not store the personal identification number (PIN) or the encrypted PIN block after authorization.,"These values should be known only to the card owner or bank that issued the card. If this data is stolen, malicious individuals can execute fraudulent PIN-based debit transactions (for example, ATM withdrawals).",3.2.3,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,1 - Remove sensitive authentication data and limit data retention
PCI Data Security Standard v3.2.1,PCI DSS v3.2.1 - 3.3,PCI Data Security Standard v3.2.1 - 3.3,"Mask PAN when displayed (the first six and last four digits are the maximum number of digits to be displayed), such that only personnel with a legitimate business need can see more than the first six/last four digits of the PAN.

Note: This requirement does not supersede stricter requirements in place for displays of cardholder data—for example, legal or payment card brand requirements for point-of-sale (POS) receipts.","The display of full PAN on items such as computer screens, payment card receipts, faxes, or paper reports can result in this data being obtained by unauthorized individuals and used fraudulently. Ensuring that full PAN is only displayed for those with a legitimate business need to see the full PAN minimizes the risk of unauthorized persons gaining access to PAN data.

The masking approach should always ensure that only the minimum number of digits is displayed as necessary to perform a specific business function. For example, if only the last four digits are needed to perform a business function, mask the PAN so that individuals performing that function can view only the last four digits. As another example, if a function needs access to the bank identification number (BIN) for routing purposes, unmask only the BIN digits (traditionally the first six digits) during that function.

This requirement relates to protection of PAN
displayed on screens, paper receipts, printouts,
etc., and is not to be confused with Requirement
3.4 for protection of PAN when stored in files,
databases, etc.",3.3,Protect Cardholder Data,Requirement 3: Protect stored cardholder data,5 - Protect stored cardholder data
