Control Framework,Control Short Name,Control Long Name,Control Description,Supplemental Guidance,Control Number,Control Family,Control Class,Control Priority,Defined approach requirements,Customized Approach Objective,Applicability Notes,Defined Approach Testing Procedures,Purpose,Good Practice,Definitions,Further Information,Examples
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.7,PCI Data Security Standard v4.0 - 1.2.7,Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.,"Purpose
Such a review gives the organization an opportunity to clean up any unneeded, outdated, or incorrect rules and configurations which could be utilized by an unauthorized person. Furthermore, it ensures that all rules and configurations allow only authorized services, protocols, and ports that match the documented business justifications.

Good Practice
This review, which can be implemented using manual, automated, or system-based methods, is intended to confirm that the settings that manage traffic rules, what is allowed in and out of the network, match the approved configurations. The review should provide confirmation that all permitted access has a justified business reason. Any discrepancies or uncertainties about a rule or configuration should be escalated for resolution. While this requirement specifies that this review occur at least once every six months, organizations with a high volume of changes to their network configurations may wish to consider performing reviews more frequently to ensure that the configurations continue to meet the needs of the business.

",1.2.7,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.,NSC configurations that allow or restrict access to trusted networks are verified periodically to ensure that only authorized connections with a current business justification are permitted.,,"a. Examine documentation to verify procedures are defined for reviewing configurations of NSCs at least once every six months.

b. Examine documentation of reviews of configurations for NSCs and interview responsible personnel to verify that reviews occur at least once every six months.

c. Examine configurations for NSCs to verify that configurations identified as no longer being supported by a business justification are removed or updated.","Such a review gives the organization an opportunity to clean up any unneeded, outdated, or incorrect rules and configurations which could be utilized by an unauthorized person. Furthermore, it ensures that all rules and configurations allow only authorized services, protocols, and ports that match the documented business justifications.","This review, which can be implemented using manual, automated, or system-based methods, is intended to confirm that the settings that manage traffic rules, what is allowed in and out of the network, match the approved configurations. The review should provide confirmation that all permitted access has a justified business reason. Any discrepancies or uncertainties about a rule or configuration should be escalated for resolution. While this requirement specifies that this review occur at least once every six months, organizations with a high volume of changes to their network configurations may wish to consider performing reviews more frequently to ensure that the configurations continue to meet the needs of the business.",,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.2.8,PCI Data Security Standard v4.0 - 1.2.8,"Configuration files for NSCs are:
• Secured from unauthorized access.
• Kept consistent with active network configurations.","Purpose
To prevent unauthorized configurations from being applied to the network, stored files with configurations for network controls need to be kept up to date and secured against unauthorized changes. Keeping configuration information current and secure ensures that the correct settings for NSCs are applied whenever the configuration is run.

",1.2.8,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"Configuration files for NSCs are:
• Secured from unauthorized access.
• Kept consistent with active network configurations.",NSCs cannot be defined or modified using untrusted configuration objects (including files).,"Any file or setting used to configure or synchronize NSCs is considered to be a “configuration file.” This includes files, automated and system-based controls, scripts, settings, infrastructure as code, or other parameters that are backed up, archived, or stored remotely. ",Examine configuration files for NSCs to verify they are in accordance with all elements specified in this requirement.,"To prevent unauthorized configurations from being applied to the network, stored files with configurations for network controls need to be kept up to date and secured against unauthorized changes. Keeping configuration information current and secure ensures that the correct settings for NSCs are applied whenever the configuration is run.",,,,"If the secure configuration for a router is stored in non-volatile memory, when that router is restarted or rebooted, these controls should ensure that its secure configuration is reinstated."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.3,PCI Data Security Standard v4.0 - 1.3,Network access to and from the cardholder data environment is restricted.,,1.3,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.3.1,PCI Data Security Standard v4.0 - 1.3.1,"Inbound traffic to the CDE is restricted as follows:
• To only traffic that is necessary.
• All other traffic is specifically denied.","Purpose
This requirement aims to prevent malicious individuals from accessing the entity’s network via unauthorized IP addresses or from using services, protocols, or ports in an unauthorized manner.

Good Practice
All traffic inbound to the CDE, regardless of where it originates, should be evaluated to ensure it follows established, authorized rules. Connections should be inspected to ensure traffic is restricted to only authorized communications—for example, by restricting source/destination addresses and ports, and blocking of content.

",1.3.1,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"Inbound traffic to the CDE is restricted as follows:
• To only traffic that is necessary.
• All other traffic is specifically denied.",Unauthorized traffic cannot enter the CDE.,,"a. Examine configuration standards for NSCs to verify that they define restricting inbound traffic to the CDE is in accordance with all elements specified in this requirement.

b. Examine configurations of NSCs to verify that inbound traffic to the CDE is restricted in accordance with all elements specified in this requirement.","This requirement aims to prevent malicious individuals from accessing the entity’s network via unauthorized IP addresses or from using services, protocols, or ports in an unauthorized manner.","All traffic inbound to the CDE, regardless of where it originates, should be evaluated to ensure it follows established, authorized rules. Connections should be inspected to ensure traffic is restricted to only authorized communications—for example, by restricting source/destination addresses and ports, and blocking of content.",,,"Implementing a rule that denies all inbound and outbound traffic that is not specifically needed— for example, by using an explicit “deny all” or implicit deny after allow statement—helps to prevent inadvertent holes that would allow unintended and potentially harmful traffic."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.3.2,PCI Data Security Standard v4.0 - 1.3.2,"Outbound traffic from the CDE is restricted as follows:
• To only traffic that is necessary.
• All other traffic is specifically denied.","Purpose
This requirement aims to prevent malicious individuals and compromised system components within the entity’s network from communicating with an untrusted external host.

Good Practice
All traffic outbound from the CDE, regardless of the destination, should be evaluated to ensure it follows established, authorized rules. Connections should be inspected to restrict traffic to only authorized communications—for example, by restricting source/destination addresses and ports, and blocking of content.

",1.3.2,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"Outbound traffic from the CDE is restricted as follows:
• To only traffic that is necessary.
• All other traffic is specifically denied.",Unauthorized traffic cannot leave the CDE.,,"a. Examine configuration standards for NSCs to verify that they define restricting outbound traffic from the CDE in accordance with all elements specified in this requirement.

b. Examine configurations of NSCs to verify that outbound traffic from the CDE is restricted in accordance with all elements specified in this requirement.",This requirement aims to prevent malicious individuals and compromised system components within the entity’s network from communicating with an untrusted external host.,"All traffic outbound from the CDE, regardless of the destination, should be evaluated to ensure it follows established, authorized rules. Connections should be inspected to restrict traffic to only authorized communications—for example, by restricting source/destination addresses and ports, and blocking of content.",,,"Implementing a rule that denies all inbound and outbound traffic that is not specifically needed— for example, by using an explicit “deny all” or implicit deny after allow statement—helps to prevent inadvertent holes that would allow unintended and potentially harmful traffic."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.3.3,PCI Data Security Standard v4.0 - 1.3.3,"NSCs are installed between all wireless networks and the CDE, regardless of whether the wireless network is a CDE, such that:
• All wireless traffic from wireless networks into the CDE is denied by default.
• Only wireless traffic with an authorized business purpose is allowed into the CDE.","Purpose
The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious individuals to gain access to the network and account data. If a wireless device or network is installed without the entity’s knowledge, a malicious individual could easily and “invisibly” enter the network. If NSCs do not restrict access from wireless networks into the CDE, malicious individuals that gain unauthorized access to the wireless network can easily connect to the CDE and compromise account information.

",1.3.3,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"NSCs are installed between all wireless networks and the CDE, regardless of whether the wireless network is a CDE, such that:
• All wireless traffic from wireless networks into the CDE is denied by default.
• Only wireless traffic with an authorized business purpose is allowed into the CDE.",Unauthorized traffic cannot traverse network boundaries between any wireless networks and wired environments in the CDE.,,"Examine configuration settings and network diagrams to verify that NSCs are implemented between all wireless networks and the CDE, in accordance with all elements specified in this requirement.","The known (or unknown) implementation and exploitation of wireless technology within a network is a common path for malicious individuals to gain access to the network and account data. If a wireless device or network is installed without the entity’s knowledge, a malicious individual could easily and “invisibly” enter the network. If NSCs do not restrict access from wireless networks into the CDE, malicious individuals that gain unauthorized access to the wireless network can easily connect to the CDE and compromise account information.",,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.4,PCI Data Security Standard v4.0 - 1.4,Network connections between trusted and untrusted networks are controlled.,,1.4,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,,,,,,,,,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.4.1,PCI Data Security Standard v4.0 - 1.4.1,NSCs are implemented between trusted and untrusted networks.,"Purpose
Implementing NSCs at every connection coming into and out of trusted networks allows the entity to monitor and control access and minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection.

",1.4.1,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,NSCs are implemented between trusted and untrusted networks.,Unauthorized traffic cannot traverse network boundaries between trusted and untrusted networks.,,"a. Examine configuration standards and network diagrams to verify that NSCs are defined between trusted and untrusted networks.

b. Examine network configurations to verify that NSCs are in place between trusted and untrusted networks, in accordance with the documented configuration standards and network diagrams.",Implementing NSCs at every connection coming into and out of trusted networks allows the entity to monitor and control access and minimizes the chances of a malicious individual obtaining access to the internal network via an unprotected connection.,,,,"An entity could implement a DMZ, which is a part of the network that manages connections between an untrusted network (for examples of untrusted networks refer to the Requirement 1 Overview) and services that an organization needs to have available to the public, such as a web server. Please note that if an entity’s DMZ processes or transmits account data (for example, e-commerce website), it is also considered a CDE."
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.4.2,PCI Data Security Standard v4.0 - 1.4.2,"Inbound traffic from untrusted networks to trusted networks is restricted to:
• Communications with system components that are authorized to provide publicly accessible services, protocols, and ports.
• Stateful responses to communications initiatedby system components in a trusted network.
• All other traffic is denied.","Purpose
Ensuring that public access to a system component is specifically authorized reduces the risk of system components being unnecessarily exposed to untrusted networks.

Good Practice
System components that provide publicly accessible services, such as email, web, and DNS servers, are the most vulnerable to threats originating from untrusted networks. Ideally, such systems are placed within a dedicated trusted network that is public facing (for example, a DMZ) but that is separated via NSCs from more sensitive internal systems, which helps protect the rest of the network in the event these externally accessible systems are compromised. This functionality is intended to prevent malicious actors from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner. Where this functionality is provided as a built-in feature of an NSC, the entity should ensure that its configurations do not result in the functionality being disabled or bypassed.

Definitions
Ensuring that public access to a system component is specifically authorized reduces the risk of system components being unnecessarily exposed to untrusted networks.

",1.4.2,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,"Inbound traffic from untrusted networks to trusted networks is restricted to:
• Communications with system components that are authorized to provide publicly accessible services, protocols, and ports.
• Stateful responses to communications initiatedby system components in a trusted network.
• All other traffic is denied.",Only traffic that is authorized or that is a response to a system component in the trusted network can enter a trusted network from an untrusted network.,"The intent of this requirement is to address communication sessions between trusted and untrusted networks, rather than the specifics of protocols. This requirement does not limit the use of UDP or other connectionless network protocols if state is maintained by the NSC.",Examine vendor documentation and configurations of NSCs to verify that inbound traffic from untrusted networks to trusted networks is restricted in accordance with all elements specified in this requirement.,Ensuring that public access to a system component is specifically authorized reduces the risk of system components being unnecessarily exposed to untrusted networks.,"System components that provide publicly accessible services, such as email, web, and DNS servers, are the most vulnerable to threats originating from untrusted networks. Ideally, such systems are placed within a dedicated trusted network that is public facing (for example, a DMZ) but that is separated via NSCs from more sensitive internal systems, which helps protect the rest of the network in the event these externally accessible systems are compromised. This functionality is intended to prevent malicious actors from accessing the organization's internal network from the Internet, or from using services, protocols, or ports in an unauthorized manner. Where this functionality is provided as a built-in feature of an NSC, the entity should ensure that its configurations do not result in the functionality being disabled or bypassed.","Maintaining the ""state"" (or status) for each connection into a network means the NSC “knows” whether an apparent response to a previous connection is a valid, authorized response (since the NSC retains each connection’s status) or whether it is malicious traffic trying to fool the NSC into allowing the connection.",,
PCI Data Security Standard v4.0,PCI DSS v4.0 - 1.4.3,PCI Data Security Standard v4.0 - 1.4.3,Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.,"Purpose
Filtering packets coming into the trusted network helps to, among other things, ensure packets are not “spoofed” to appear as if they are coming from an organization’s own internal network. For example, anti-spoofing measures prevent internal addresses originating from the Internet from passing into the DMZ.

Good Practice
Products usually come with anti-spoofing set as a default and may not be configurable. Entities should consult the vendor's documentation for more information.

",1.4.3,Build and Maintain a Secure Network and Systems ,Requirement 1: Install and Maintain Network Security Controls ,,Anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.,Packets with forged IP source addresses cannot enter a trusted network.,,Examine vendor documentation and configurations for NSCs to verify that anti-spoofing measures are implemented to detect and block forged source IP addresses from entering the trusted network.,"Filtering packets coming into the trusted network helps to, among other things, ensure packets are not “spoofed” to appear as if they are coming from an organization’s own internal network. For example, anti-spoofing measures prevent internal addresses originating from the Internet from passing into the DMZ.",Products usually come with anti-spoofing set as a default and may not be configurable. Entities should consult the vendor's documentation for more information.,,,"Normally, a packet contains the IP address of the computer that originally sent it so other computers in the network know where the packet originated. Malicious individuals will often try to spoof (or imitate) the sending IP address to fool the target system into believing the packet is from a trusted source."
