Control Framework,Control Family,Control Class,Control Short Name,Control Long Name,Control Number,Requirements
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.7 Securing External Parties' Relations,1.7.1,1.7.1,1.7.1,"Determines and assesses governance & information security risks related to its relations with external parties, consultants, temporary staff, outsourcing and cloud services providers"
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.7 Securing External Parties' Relations,1.7.2,1.7.2,1.7.2,Selects and applies the appropriate information security controls and measures to control the identified risks
Information Security Regulation Version 2.0,Domain 1 - Information Security Management and Governance,1.7 Securing External Parties' Relations,1.7.3,1.7.3,1.7.3,"Develops and implements the required agreements to secure relations with the external parties, including integrity, availability and confidentiality"
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.1 Information Assets Register,2.1.1,2.1.1,2.1.1,"Develops, distributes and maintains an entity wide information asset management policy and procedure or framework for the identification, management and protection of information assets in line with applicable laws and regulations."
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.1 Information Assets Register,2.1.2,2.1.2,2.1.2,"Identifies  documents & maintains a register of all information assets for the entire entity and consider other details and necessary information (Information Clasiffication, Physical location, license etc) that may be required to avoid risks and recover from disasters. "
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.1 Information Assets Register,2.1.3,2.1.3,2.1.3,Reviews & maintains the information asset register on a regular basis. 
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.2 Information Assets Ownership/Custodianship,2.2.1,2.2.1,2.2.1,"Establishes and implements information ownership policy, where information assets are identified with an owner and a custodian"
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.2 Information Assets Ownership/Custodianship,2.2.2,2.2.2,2.2.2,Assigns the information assets owner the responsibility of ensuring that proper classifications of information are carried out based on the sensitivity of information.
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.2 Information Assets Ownership/Custodianship,2.2.3,2.2.3,2.2.3,Assigns the information assets owner the responsibility of defining the proper access control to the information and ensuring periodic review of access in accordance with assigned classification level and the entity’s access control policy.
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.2 Information Assets Ownership/Custodianship,2.2.4,2.2.4,2.2.4,"Maintain day to day operational tasks related to the information assets , while considering the higher authority of the assets - Custodian / Information user"
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.3 Information Assets Classification,2.3.1,2.3.1,2.3.1,"Defines and implements an information classification scheme/process based on assets criticality, value, legal and protection requirements, etc. in line with applicable laws and regulations (ISR Ref. 11.1 and 11.2)."
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.3 Information Assets Classification,2.3.2,2.3.2,2.3.2,"Develops, distributes and maintains information classification policy and related procedures"
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.4 Information Assets Labelling and Handling,2.4.1,2.4.1,2.4.1,Defines and implements adequate labelling and handling controls for the information assets
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.4 Information Assets Labelling and Handling,2.4.2,2.4.2,2.4.2,"Develops, distributes and maintains procedure for the information assets labelling and handling requirements"
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.5 Disposals of Information and Assets,2.5.1,2.5.1,2.5.1,"Identifies and implements the required safety and security measures prior to the disposal of information assets based on their value, criticality and sensitivity"
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.5 Disposals of Information and Assets,2.5.2,2.5.2,2.5.2,"Develops, distributes and maintains clear procedure for  disposal of information and information assets, as part of the labelling and handling procedure"
Information Security Regulation Version 2.0,Domain 2 - Information and Information Assets Management,2.6 Information Assets Responsibility,2.6.1,2.6.1,2.6.1,"Develops, distributes and maintains an acceptable use policy governing the acceptable use of information and assets including usage of personal devices in entity’s environment. "
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.1 Risk Assessment Methodology & Planning,3.1.1,3.1.1,3.1.1,Develops a risk assessment methodology that aligns with the requirements of the entity’s information security program/management system.
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.1 Risk Assessment Methodology & Planning,3.1.2,3.1.2,3.1.2,Determines a periodic plan for conducting the risk assessment across the entity
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.1 Risk Assessment Methodology & Planning,3.1.3,3.1.3,3.1.3,Identifies the criteria of acceptable risks as part of the risk assessment methodology
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.1 Risk Assessment Methodology & Planning,3.1.4,3.1.4,3.1.4,Identifies the scope of the risk assessments involving key stakeholders  around their business processes & respective information assets that will be included in the assessment
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.1 Risk Assessment Methodology & Planning,3.1.5,3.1.5,3.1.5,Identifies threats and vulnerabilities inline with risk assessment methodology
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.1 Risk Assessment Methodology & Planning,3.1.6,3.1.6,3.1.6,Plans and implements a periodic awareness of the risk assessment program across the entity
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.2 Risk Assessment,3.2.1,3.2.1,3.2.1,Conducts & maintains a detailed risk assessment in accordance with the approved risk assessment methodology.
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.2 Risk Assessment,3.2.2,3.2.2,3.2.2,"Analyses risks and prioritizes them based on the criticality, in order to set treatment plans and controls"
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.2 Risk Assessment,3.2.3,3.2.3,3.2.3,Determines and identifies the acceptable risks in accordance with the risk assessment methodology
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.2 Risk Assessment,3.2.4,3.2.4,3.2.4,Documents the risk assessment results and approves it officially by the senior management or the Information Security Steering Committee or higher management
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.3 Risk Treatment and Mitigation,3.3.1,3.3.1,3.3.1,"Selects the proper risk treatment plans (mitigate, avoid, transfer, etc.) for the identified risks"
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.3 Risk Treatment and Mitigation,3.3.2,3.3.2,3.3.2,Determines and selects the appropriate security operational controls for mitigating the identified risks
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.3 Risk Treatment and Mitigation,3.3.3,3.3.3,3.3.3,Signs off and authorizes officially the implementation of the risk mitigations controls 
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.3 Risk Treatment and Mitigation,3.3.4,3.3.4,3.3.4,Performs and implements the mitigation controls for the risks identified
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.3 Risk Treatment and Mitigation,3.3.5,3.3.5,3.3.5,Reviews and monitors the implemented risk mitigation controls for effectiveness
Information Security Regulation Version 2.0,Domain 3 – Information Security Risk Management,3.4 Risk Acceptance,3.4.1,3.4.1,3.4.1,"Documents the residual non treated risks with justifications, signed off from the Information Security Steering committee along with the detailed plan for treatment"
Information Security Regulation Version 2.0,Domain 4 - Incident and Problem Management,4.1 Incident Management Planning,4.1.1,4.1.1,4.1.1,"Develops, distributes and maintains a formal policy and procedure for the management of information security incidents"
Information Security Regulation Version 2.0,Domain 4 - Incident and Problem Management,4.1 Incident Management Planning,4.1.2,4.1.2,4.1.2,Establishes a capability (incident response team) for the information security incidents response and handling across the entity
Information Security Regulation Version 2.0,Domain 4 - Incident and Problem Management,4.1 Incident Management Planning,4.1.3,4.1.3,4.1.3,Provides periodic awareness and training sessions to Incident Response Team on incident handling process in order to exercise & execute effective handling of information security incidents
Information Security Regulation Version 2.0,Domain 4 - Incident and Problem Management,4.2 Information Security Incident Reporting and Escalation,4.2.1,4.2.1,4.2.1," Assigns responsibility to all employees or any users dealing with the entity’s information, for reporting  information security incidents or weaknesses "
Information Security Regulation Version 2.0,Domain 4 - Incident and Problem Management,4.2 Information Security Incident Reporting and Escalation,4.2.2,4.2.2,4.2.2,"Implements an escalation process for reporting information security incidents identified as high severity, engage external authorities for investigation, if required"
Information Security Regulation Version 2.0,Domain 4 - Incident and Problem Management,4.3 Evidence Gathering,4.3.1,4.3.1,4.3.1,Implements a process to gather and retain any evidences related to any information security incidents
Information Security Regulation Version 2.0,Domain 4 - Incident and Problem Management,4.4 Information Security Incidents Knowledge base,4.4.1,4.4.1,4.4.1," Develops a knowledge base for security incidents with details of any previous incidents, their types, cost, and any other relevant information"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.1 Access Control Management Policy/Procedure,5.1.1,5.1.1,5.1.1,"Develops, distributes and maintains an access control policy that addresses all security requirements for the implementation of an effective access control within the entity"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.1 Access Control Management Policy/Procedure,5.1.2,5.1.2,5.1.2,"Develops, distributes and maintains an access control procedure that provides implementation details for access control, based on role-bases access control"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.1 Access Control Management Policy/Procedure,5.1.3,5.1.3,5.1.3,Maintains a secure repository of all information systems access controls
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.2 Logical Access Control,5.2.1 Users Access Control,5.2.1 Users Access Control,5.2.1,"a. Defines and Implements a process for users registration, de-registration, and users access privileges modification, disabling or removal, etc.
b.  Provides each user with a unique identifier (user ID) for their individual business use only
c. Implements a unified users ID standard across the entity
d. Implements a proper authentication technique for the validation of users access,  onsite and remote
e. Develops, distributes and maintains appropriate authentication policy(ies) (e.g. a password allocation process, users' responsibilities, password structure, etc.).
f. Identifies the categories of users requiring regular and special privileges through ensuring the availability of the following:
A-A valid and approved access authorization
B-Intended system usage
C-Other attributes as required by the entity
D-Utilization of access accounts with special privileges must be restricted for their intended purpose
g. Maintains records of all users' access privileges, and monitors them on a continuous basis
h. Limits the number of special/high privileged user IDs to those individuals who absolutely must have such privileges for authorized business purposes
i. Implements proper security and independent monitoring controls over the usage of special or high privileged IDs
j.  Implements proper process for guest and temporary user IDs request and employs automated user IDs termination
k. Allocates access privileges on a restricted basis while employing least privilege concept and separation of duties
l. Employs a process for review and re-authorization of user access rights on a periodic basis, as defined by the entity"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.2 Logical Access Control,5.2.2 Network Access Control,5.2.2 Network Access Control,5.2.2,"a. Develops, distributes and maintains a policy for network access control, networks services, authorization process for granting network access, etc
b. Defines a process for authorizing, activating and terminating any network connections in the entity
c. Implements network access control tool/method for network connectivity detection, identification and authentication
d. Implements proper authentication tool for remote access connections
e. Manages and controls access to configuration ports on network equipment/devices
f. Implements proper segregation controls on the different types of networks (internal, external, wireless, IP telephony, etc.)
g.  Implements proper security and operational controls for any network connections beyond the entity’s direct control"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.2 Logical Access Control,5.2.3 Operating System Access Control,5.2.3 Operating System Access Control,5.2.3,"a. Manages and controls access to operating systems through secure log-on process
b. Assigns each user with a unique user ID and apply the proper authentication method for identity verification
c. Limits the use of generic user IDs to only exceptional and business justified circumstances, and implements the proper accountability technique for such use
d. Implements an entity wide authentication mechanism to enforce various authentication controls
e. Manages and controls the use of utility programs
f. Implements session time-out controls to prevent unauthorized access
g. Implements lock-out policy
h. Restricts connection times for critical information systems and applications
i.  Records and continuously reviews logs of administrators system IDs"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.2 Logical Access Control,5.2.4 Applications Access Control,5.2.4 Applications Access Control,5.2.4,"a. Provides access to applications based on job responsibilities and business justifications, in alignment with the entity access control policy/procedure
b. Implements proper physical or logical isolation controls for highly critical information systems and application environments"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.2 Logical Access Control,5.2.5 Remote Access Security,5.2.5 Remote Access Security,5.2.5,"a. Develops, distributes and maintains a policy addressing remote access to the entity's resources
b. Enforces formal authorization prior to remote access connections
c. Ensures that adequate security controls are implemented on the VPN client machines, such as authentication, encryption, antivirus software, personal firewalls, session timeout, etc
d. Provides remote access users with access to the services that they have been specifically authorized to use
e. Monitors and periodically reviews the remote access connections logs"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.2 Logical Access Control,5.2.6 Mobile Computing,5.2.6 Mobile Computing,5.2.6,"a. Develops, distributes and maintains a formal policy governing the appropriate use of mobile computing and communication facilities
b. Implements appropriate security controls to protect against the risks of mobile computing and communication facilities’ usage, such as:
A-Implement encryption mechanisms 
B-Secure handling for the portable computing devices 
C-Mechanisms to disable portable devices when lost or stolen. 
D-Proper data backup procedures for the portable devices
E. Limit or restrict usage of portable computing devices to authorized users with adequate security controls.
c. Develops, distributes and maintains a policy and procedure for the handling and usage of personally owned devices (Bring your own Device (BYOD)) that are not owned by the entity, addressing entity’s security requirements on handling lost or stolen portable computing devices, storage of entity data on these devices, connectivity to entity network and systems etc."
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.2 Logical Access Control,5.2.7 Wireless Access Management,5.2.7 Wireless Access Management,5.2.7,"a. Develops, distributes and maintains a formal policy on the wireless network usage.
b. Authorizes formally the wireless access to the network prior to any connection
c.  Implements the proper authentication controls for the wireless access
d. Enforces proper security controls for wireless connections to the entity's network and establishes usage restrictions and implementation guidance for such use
e. Provides wireless connection users with access to services that they have been specifically authorized to use
f. Monitors continuously the unauthorized wireless access to the network"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.3 Physical Access Control,5.3.1 Physical Access Policy and Procedure,5.3.1 Physical Access Policy and Procedure,5.3.1,"a. Develops, distributes and maintains a physical access policy for implementing physical access controls on offices, rooms and other areas
b. Supplements,physical access procedure to implement the protection controls and provides users with specification on physical security safeguards
c. Enforces formal authorization prior to physical access to any facilities with information processing resources"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.3 Physical Access Control,5.3.2 Physical Security Controls,5.3.2 Physical Security Controls,5.3.2,"a. Enforces appropriate physical access control perimeters for all physical access points to the entity
b. Verifies and ensures that only authorized employees are provided access to protected areas
c. Controls entry to the data center, or any facility containing information systems using physical access control devices
d. Controls and monitors physical access to the information processing facilities areas or any other public areas
e.  Safeguards and enforces adequate protection controls on physical access devices
f.  Keeps inventory of all physical access devices owned by the entity
g. Reviews logs of physical access on a regular basis
h. Deploys mechanism to monitor the movement of employees & non- employees within the entity"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.4 Public and External Party Access Control,5.4.1,5.4.1,5.4.1,"Enforces formal authorization prior to logical or Physical access required by external party through deploying a ""need to know"" criteria"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.4 Public and External Party Access Control,5.4.2,5.4.2,5.4.2,Monitors and logs logical or physical access provided to public or external party
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.4 Public and External Party Access Control,5.4.3,5.4.3,5.4.3,Controls physical access to any areas that includes information systems and other areas where unauthorized personnel may enter by authenticating visitors before authorizing access
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.4 Public and External Party Access Control,5.4.4,5.4.4,5.4.4,"Authorizes, monitors, and controls entering and exiting the data centre facilities or any other public areas and maintains such records"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.4 Public and External Party Access Control,5.4.5,5.4.5,5.4.5,Sets physical access protection and control mechanisms on all external parties or outsourced individuals for any violation of entity's information security policy
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.5 Information and Documents Access Control,5.5.1,5.5.1,5.5.1,Places adequate security controls on accessing and handling  all soft/hard documents/information in alignment with its criticality
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.5 Information and Documents Access Control,5.5.2,5.5.2,5.5.2,Determines and assigns the needed access rights for the protected documents/information
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.5 Information and Documents Access Control,5.5.3,5.5.3,5.5.3,"Sets a clear policy on controlling documents, along with defining a clear retention period for archiving, and supplementing it with procedures and guidelines for implementation and usage."
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.5 Information and Documents Access Control,5.5.4,5.5.4,5.5.4,"Employs a clear procedure for the disposal of documents, with requirements of  authorization and responsibilities"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.6 Access Control Audit and Review,5.6.1,5.6.1,5.6.1," Implements audit trails in information processing systems, as necessary"
Information Security Regulation Version 2.0,Domain 5 - Access Control,5.6 Access Control Audit and Review,5.6.2,5.6.2,5.6.2,"Logs, maintains and periodically reviews logical and physical access control lists"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,6.1.1 Technology and operations Capacity Management,6.1.1 Technology and operations Capacity Management,6.1.1,"a. Ensures advanced planning and preparation for availability of adequate capacity and resources
b. Conduct an annual projection review of capacity requirements and resources for the information processing systems and their technology components, integrating Business requirements."
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,6.1.2 Documentation of Operational Procedures,6.1.2 Documentation of Operational Procedures,6.1.2,"a. Developes and maintains operating procedures documentations of all information processing systems detailing inputs, outputs and dependencies
b. Documents and maintains up to date baseline configurations manuals of all information processing systems including an inventory of constituent system components
c. Places adequate security protection controls on the operational procedures with distribution list and permitted users and ensures their avaliability to authorized users"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,6.1.3 Change Management,6.1.3 Change Management,6.1.3,"a. Develops, distributes and maintains a formal documented change management policy defining the process and roles and responsibilities of business owners
b. Supplements the policy with a detailed procedure for implementation of the change and configuration management process and provide guidelines for all users
c. Implements a change management  process that include, as a minimum: 
 A. Description of required change   
 B. Testing and implementation plans                                                                                 
 C. Risk assessment of the change impact                                                                         
 D. Official authorization of the change                                                                                
 E. Rollback process for recovery of unsuccessful changes "
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,6.1.4 Segregation of Duties,6.1.4 Segregation of Duties,6.1.4,"Segregates duties and responsibilities as necessary through distributing the tasks among multiple users, in a manner to reduce errors, fraud and unauthorized modification or misuse of the entity’s assets"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,6.1.5 Separation of Operational Facilities,6.1.5 Separation of Operational Facilities,6.1.5," Segregates where necessary development, testing and production processing facilities to mitigate the risk from unauthorized or unintentional access or change"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,,,,Allocates secured computing environment for the sensitive and critical information systems facilities
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,6.1.6 Information Systems Deployment,6.1.6 Information Systems Deployment,6.1.6,"a. Develops, distributes and maintains a formal policy and procedure for the acquisition, deployment and upgrade of information systems, addressing security controls
b. Defines and implements proper acceptance criteria for new information systems implementation and upgrades, and enforcing formal certification and accreditation process outlining security requirements
c. Carries out suitable security testing of the information systems during development and prior to acceptance and deployment, and ensures periodic testing"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.1 Operations Management,6.1.7 Virtualization Techniques,6.1.7 Virtualization Techniques,6.1.7,"Employs virtualization techniques, whenever applicable,with proper security controls, in reducing the likelihood of successful security attacks"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.2 External Party Services Management,6.2.1,6.2.1,6.2.1,"Develops, and maintains a formal agreement with the external party service providers that addresses compliance with the entity information security requirements"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.2 External Party Services Management,6.2.2,6.2.2,6.2.2,"Places adequate measures to assure that security controls, services definitions and delivery levels that are agreed are implemented and followed by the external party"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.2 External Party Services Management,6.2.3,6.2.3,6.2.3,"Monitors, reviews and audits the services and all related deliverables provided by external party in a regular basis"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.2 External Party Services Management,6.2.4,6.2.4,6.2.4,Places adequate measures to manage and asses risks related to changes of the external party services
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.1,6.3.1,6.3.1,"Develops, distributes and maintains a formal policy covering the requirements for prevention, detection and recovery controls against malicious codes"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.2,6.3.2,6.3.2,Conduct regular awareness across the entity on the importance of protecting the entity infrastructure from malicious code attacks
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.3,6.3.3,6.3.3," Implements a proper entity wide system/software for the malicious code scanning, detection and repairing"
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.4,6.3.4,6.3.4,Keeps an up to date malicious code protection mechanisms which are continuously updated
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.5,6.3.5,6.3.5,Performs periodic scans of all information systems and real time scans of files from external sources as defined by the implemented policies
Information Security Regulation Version 2.0,"Domain 6 - Operation, Systems and Communication Management",6.3 Protection against Malicious and Mobile Code,6.3.6,6.3.6,6.3.6," Automates the antivirus software configurations, updates and operations among all users and employees"
